Longitud,Latitud,Valor
-72.01670,-35.96670,3.20000
-72.06670,-35.98330,82.20000
-71.72280,-36.00000,39.00000
-71.44190,-36.00280,39.30000
-70.55470,-36.01140,15.50000
-72.38330,-36.01670,7.80000
-72.08330,-36.05000,51.70000
-71.69720,-36.07330,0.60000
-70.93330,-36.16670,64.90000
-71.45690,-36.23030,43.00000
-72.00000,-36.23330,40.00000
-71.53250,-36.23610,9.40000
-71.56420,-36.24780,6.30000
-71.33750,-36.25580,33.30000
-71.41890,-36.25670,6.30000
-71.62330,-36.37580,30.40000
-72.66690,-36.42500,21.70000
-72.69110,-36.46690,333.00000
-72.05000,-36.55000,38.60000
-72.10000,-36.55000,121.80000
-72.28330,-36.55000,18.40000
-71.55470,-36.57030,110.70000
-71.52560,-36.58560,87.30000
-72.10030,-36.59670,1.10000
-71.78330,-36.61670,1.20000
-72.31670,-36.61670,20.40000
-72.48920,-36.62610,192.10000
-72.21670,-36.63330,26.70000
-72.95030,-36.63940,4.60000
-71.76670,-36.65000,1.70000
-72.45000,-36.65000,124.30000
-71.75580,-36.65470,12.20000
-71.32080,-36.65830,72.50000
-71.27390,-36.66530,30.70000
-72.15000,-36.66670,2.10000
-72.38330,-36.70000,15.60000
-72.13330,-36.73330,1.70000
-71.74860,-36.78670,15.00000
-71.66080,-36.80000,9.20000
-73.03330,-36.81670,12.70000
-73.01640,-36.82030,1.10000
-73.06190,-36.83860,949.30000
-72.38330,-36.85000,117.00000
-71.62530,-36.86060,3.50000
-72.33330,-36.86670,44.90000
-71.57560,-36.92440,15.70000
-72.35000,-36.93330,52.70000
-72.94140,-36.98250,0.70000
-72.18330,-37.06670,38.60000
-71.24220,-37.10720,2.10000
-72.54500,-37.11830,11.80000
-72.06670,-37.15000,41.90000
-72.03330,-37.16670,9.80000
-73.16670,-37.16670,1.50000
-71.22970,-37.20580,6.10000
-72.32420,-37.21190,53.10000
-72.53330,-37.23330,142.00000
-73.26670,-37.25000,61.50000
-72.71670,-37.26670,526.80000
-71.81890,-37.27440,8.30000
-71.98360,-37.28360,127.90000
-71.97030,-37.30030,31.30000
-71.96420,-37.30060,6.20000
-71.64670,-37.30220,2.70000
-71.63780,-37.30360,13.90000
-71.66670,-37.31670,99.80000
-71.64890,-37.32560,2.10000
-71.53360,-37.33330,30.40000
-71.53360,-37.33440,29.00000
-71.79420,-37.34000,14.50000
-71.47860,-37.36560,39.90000
-72.32720,-37.45610,3.60000
-72.75330,-37.46220,22.90000
-72.32440,-37.47280,1.40000
-73.33690,-37.48330,4.90000
-73.34420,-37.48780,1.40000
-72.31190,-37.54220,66.10000
-72.03330,-37.55000,49.50000
-72.59030,-37.55030,565.10000
-73.48330,-37.60000,5.80000
-72.27830,-37.60190,450.00000
-73.35000,-37.68330,46.60000
-71.96670,-37.70000,25.20000
-71.90170,-37.71060,421.20000
-72.23330,-37.71670,38.10000
-72.25000,-37.71670,17.60000
-72.61670,-37.73330,51.90000
-71.86280,-37.77560,6.60000
-73.40000,-37.80000,11.80000
-73.39220,-37.81310,14.60000
-73.25000,-37.81670,5.80000
-73.25000,-37.81670,9.90000
-73.36670,-37.81670,0.40000
-72.38330,-37.85000,40.40000
-72.39420,-37.86360,15.10000
-71.58060,-37.89860,10.30000
-71.62390,-37.89970,246.80000
-73.21670,-37.93330,2.80000
-72.80940,-37.94310,5.50000
-72.43610,-37.96470,26.30000
-71.52000,-37.98970,234.10000
-73.04250,-38.01280,10.10000
-73.01670,-38.03330,9.70000
-71.47810,-38.03690,52.30000
-73.40000,-38.11670,19.10000
-72.30000,-38.15000,2.00000
-72.90000,-38.15000,16.40000
-71.29890,-38.20080,126.30000
-71.82830,-38.21420,4.90000
-72.31670,-38.21670,4.10000
-72.25000,-38.26670,1.50000
-72.38330,-38.30000,13.40000
-72.66670,-38.30000,19.40000
-72.78330,-38.40000,19.30000
-72.01060,-38.43030,89.70000
-71.23330,-38.43330,26.80000
-72.43330,-38.45000,5.70000
-71.86580,-38.45080,7.50000
-72.18610,-38.57750,13.10000
-72.84780,-38.60810,129.40000
-72.41670,-38.61670,25.20000
-72.23330,-38.68330,31.10000
-72.50280,-38.68670,135.20000
-72.94690,-38.78000,260.80000
-70.93330,-38.80440,0.50000
-72.33330,-38.85000,12.00000
-72.61670,-38.85000,86.50000
-71.73360,-38.86530,70.20000
-72.23330,-38.98330,133.70000
-73.08280,-39.01440,531.80000
-72.08330,-39.03330,44.10000
-72.93330,-39.08330,17.60000
-72.38330,-39.10000,301.30000
-72.68330,-39.10000,31.70000
-72.66670,-39.15000,6.70000
-71.82440,-39.25610,29.90000
-72.23330,-39.26670,249.10000
-71.76670,-39.33330,111.80000
-71.58080,-39.36000,29.10000
-73.13330,-39.38330,8.40000
-72.69080,-39.47810,18.80000
-72.90000,-39.55000,84.00000
-72.95000,-39.66750,17.80000
-71.84970,-39.72670,40.90000
-72.47500,-39.76670,356.90000
-72.98330,-39.77500,469.90000
-72.90250,-39.80440,442.30000
-72.82500,-39.85830,29.80000
-71.88970,-39.87470,67.00000
-73.14690,-39.97170,26.30000
-71.67580,-40.09670,52.50000
-72.25110,-40.15220,35.60000
-72.26670,-40.25000,172.60000
-72.23330,-40.26670,34.70000
-73.08330,-40.26670,14.30000
-72.96670,-40.31670,335.80000
-73.00220,-40.38420,171.10000
-72.91670,-40.43330,45.90000
-73.28330,-40.51670,238.10000
-73.60000,-40.58330,13.20000
-73.05940,-40.61810,8.50000
-73.17830,-40.63000,145.30000
-72.17720,-40.66030,53.50000
-73.01640,-40.70220,148.10000
-73.22780,-40.71360,59.00000
-72.68890,-40.78890,102.10000
-72.91330,-40.82060,43.20000
-73.13330,-40.88560,4.10000
-72.70000,-40.93330,30.80000
-73.59970,-40.99920,7.70000
-73.61670,-41.01670,18.00000
-73.38330,-41.05000,7.90000
-73.06670,-41.38330,8.20000
-73.21670,-41.40000,85.10000
-72.59280,-41.42750,3.60000
-72.81830,-41.43920,11.50000
-72.80890,-41.44170,11.00000
-72.64500,-41.50830,3.80000
-72.60580,-41.51140,7.00000
-72.20640,-41.60440,626.90000
-72.16940,-41.63890,554.30000
-72.01390,-41.72190,209.60000
-72.05250,-41.75690,329.40000
-73.75000,-42.09080,12.10000
-73.85940,-42.39330,26.50000
-71.75440,-43.17420,322.70000
-71.93690,-43.20940,56.80000
-72.10750,-43.44920,429.00000
-71.71080,-43.71690,15.50000
-72.38330,-43.81890,827.40000
-72.55830,-44.46250,33.80000
-71.54780,-44.59360,11.20000
-72.27500,-44.64420,19.10000
-71.80830,-44.65920,41.60000
-72.71670,-44.75000,4.40000
-72.71670,-44.75000,215.80000
-72.11670,-45.15000,33.70000
-72.23330,-45.23330,18.00000
-72.46670,-45.38330,168.80000
-72.60000,-45.40000,260.70000
-72.62310,-45.40580,523.40000
-72.93330,-45.46670,46.00000
-72.06810,-45.55170,49.40000
-72.03330,-45.56670,6.30000
-72.08330,-45.56670,6.10000
-72.13330,-45.61670,4.20000
-72.61670,-45.78330,95.30000
-71.91530,-45.81170,11.10000
-71.77690,-45.83720,7.80000
-71.72110,-45.88530,2.70000
-71.70810,-45.90690,2.00000
-71.99080,-46.26920,144.00000
-72.70000,-46.43330,92.50000
-71.89170,-46.55220,1.20000
-72.80000,-47.06670,561.70000
