Longitud,Latitud,Valor
-72.15,-36.6667,2.1
-72.3833,-36.7,15.6
-72.1333,-36.7333,1.7
-71.7486,-36.7867,15.0
-71.6608,-36.8,9.2
-73.0333,-36.8167,12.7
-73.0164,-36.8203,1.1
-73.0619,-36.8386,949.3
-72.3833,-36.85,117.0
-71.6253,-36.8606,3.5
-72.3333,-36.8667,44.9
-71.5756,-36.9244,15.7
-72.35,-36.9333,52.7
-72.9414,-36.9825,0.7
-72.1833,-37.0667,38.6
-71.2422,-37.1072,2.1
-72.545,-37.1183,11.8
-72.0667,-37.15,41.9
-72.0333,-37.1667,9.8
-73.1667,-37.1667,1.5
-71.2297,-37.2058,6.1
-72.3242,-37.2119,53.1
-72.5333,-37.2333,142.0
-73.2667,-37.25,61.5
-72.7167,-37.2667,526.8
-71.8189,-37.2744,8.3
-71.9836,-37.2836,127.9
-71.9703,-37.3003,31.3
-71.9642,-37.3006,6.2
-71.6467,-37.3022,2.7
-71.6378,-37.3036,13.9
-71.6667,-37.3167,99.8
-71.6489,-37.3256,2.1
-71.5336,-37.3333,30.4
-71.5336,-37.3344,29.0
-71.7942,-37.34,14.5
-71.4786,-37.3656,39.9
-72.3272,-37.4561,3.6
-72.7533,-37.4622,22.9
-72.3244,-37.4728,1.4
-73.3369,-37.4833,4.9
-73.3442,-37.4878,1.4
-72.3119,-37.5422,66.1
-72.0333,-37.55,49.5
-72.5903,-37.5503,565.1
-73.4833,-37.6,5.8
-72.2783,-37.6019,450.0
-73.35,-37.6833,46.6
-71.9667,-37.7,25.2
-71.9017,-37.7106,421.2
-72.2333,-37.7167,38.1
-72.25,-37.7167,17.6
-72.6167,-37.7333,51.9
-71.8628,-37.7756,6.6
-73.4,-37.8,11.8
-73.3922,-37.8131,14.6
-73.25,-37.8167,5.8
-73.25,-37.8167,9.9
-73.3667,-37.8167,0.4
-72.3833,-37.85,40.4
-72.3942,-37.8636,15.1
-71.5806,-37.8986,10.3
-71.6239,-37.8997,246.8
-73.2167,-37.9333,2.8
-72.8094,-37.9431,5.5
-72.4361,-37.9647,26.3
-71.52,-37.9897,234.1
-73.0425,-38.0128,10.1
-73.0167,-38.0333,9.7
-71.4781,-38.0369,52.3
-73.4,-38.1167,19.1
-72.3,-38.15,2.0
-72.9,-38.15,16.4
-71.2989,-38.2008,126.3
-71.8283,-38.2142,4.9
-72.3167,-38.2167,4.1
-72.25,-38.2667,1.5
-72.3833,-38.3,13.4
-72.6667,-38.3,19.4
-72.7833,-38.4,19.3
-72.0106,-38.4303,89.7
-71.2333,-38.4333,26.8
-72.4333,-38.45,5.7
-71.8658,-38.4508,7.5
-72.1861,-38.5775,13.1
-72.8478,-38.6081,129.4
-72.4167,-38.6167,25.2
-72.2333,-38.6833,31.1
-72.5028,-38.6867,135.2
-72.9469,-38.78,260.8
-70.9333,-38.8044,0.5
-72.3333,-38.85,12.0
-72.6167,-38.85,86.5
-71.7336,-38.8653,70.2
-72.2333,-38.9833,133.7
-73.0828,-39.0144,531.8
-72.0833,-39.0333,44.1
-72.9333,-39.0833,17.6
-72.3833,-39.1,301.3
-72.6833,-39.1,31.7
-72.6667,-39.15,6.7
-71.8244,-39.2561,29.9
-72.2333,-39.2667,249.1
-71.7667,-39.3333,111.8
-71.5808,-39.36,29.1
-73.1333,-39.3833,8.4
-72.6908,-39.4781,18.8
-72.9,-39.55,84.0
-72.95,-39.6675,17.8
-71.8497,-39.7267,40.9
-72.475,-39.7667,356.9
-72.9833,-39.775,469.9
-72.9025,-39.8044,442.3
-72.825,-39.8583,29.8
-71.8897,-39.8747,67.0
-73.1469,-39.9717,26.3
-71.6758,-40.0967,52.5
-72.2511,-40.1522,35.6
-72.2667,-40.25,172.6
-72.2333,-40.2667,34.7
-73.0833,-40.2667,14.3
-72.9667,-40.3167,335.8
-73.0022,-40.3842,171.1
-72.9167,-40.4333,45.9
-73.2833,-40.5167,238.1
-73.6,-40.5833,13.2
-73.0594,-40.6181,8.5
-73.1783,-40.63,145.3
-72.1772,-40.6603,53.5
-73.0164,-40.7022,148.1
-73.2278,-40.7136,59.0
-72.6889,-40.7889,102.1
-72.9133,-40.8206,43.2
-73.1333,-40.8856,4.1
-72.7,-40.9333,30.8
-73.5997,-40.9992,7.7
-73.6167,-41.0167,18.0
-73.3833,-41.05,7.9
-73.0667,-41.3833,8.2
-73.2167,-41.4,85.1
-72.5928,-41.4275,3.6
-72.8183,-41.4392,11.5
-72.8089,-41.4417,11.0
-72.645,-41.5083,3.8
-72.6058,-41.5114,7.0
-72.2064,-41.6044,626.9
-72.1694,-41.6389,554.3
-72.0139,-41.7219,209.6
-72.0525,-41.7569,329.4
-73.75,-42.0908,12.1
-73.8594,-42.3933,26.5
-71.7544,-43.1742,322.7
-71.9369,-43.2094,56.8
-72.1075,-43.4492,429.0
-71.7108,-43.7169,15.5
-72.3833,-43.8189,827.4
-72.5583,-44.4625,33.8
-71.5478,-44.5936,11.2
-72.275,-44.6442,19.1
-71.8083,-44.6592,41.6
-72.7167,-44.75,4.4
-72.7167,-44.75,215.8
-72.1167,-45.15,33.7
-72.2333,-45.2333,18.0
-72.4667,-45.3833,168.8
-72.6,-45.4,260.7
-72.6231,-45.4058,523.4
-72.9333,-45.4667,46.0
-72.0681,-45.5517,49.4
-72.0333,-45.5667,6.3
-72.0833,-45.5667,6.1
-72.1333,-45.6167,4.2
-72.6167,-45.7833,95.3
-71.9153,-45.8117,11.1
-71.7769,-45.8372,7.8
-71.7211,-45.8853,2.7
-71.7081,-45.9069,2.0
-71.9908,-46.2692,144.0
-72.7,-46.4333,92.5
-71.8917,-46.5522,1.2
-72.8,-47.0667,561.7
-72.7258,-47.1414,679.9
-73.25,-47.1981,0.0
-72.5644,-47.2517,16.0
-73.1147,-47.3392,0.0
-72.85,-47.35,875.5
-72.975,-47.5,930.1
-73.0889,-48.1592,703.4
-72.9589,-48.3775,612.2
-72.6,-48.4833,118.8
-72.7925,-50.9603,50.5
-72.4833,-51.0167,5.2
-72.4833,-51.0167,3.1
-72.5169,-51.0508,8.2
-72.9933,-51.0783,0.0
-73.13,-51.1114,0.0
-73.0167,-51.1833,123.8
-72.9333,-51.2,86.1
-72.45,-51.2167,12.3
-72.9833,-51.2167,67.7
-72.5167,-51.25,15.8
-72.4833,-51.2667,0.6
-72.6206,-51.3097,3.5
-72.8292,-51.3139,5.5
-73.1092,-51.3328,421.9
-72.4667,-51.45,0.4
-72.7347,-51.5581,2.7
-72.1592,-51.8233,0.7
-72.4236,-51.9056,4.2
-71.9414,-52.03,12.1
-70.0581,-52.0431,0.3
-71.4247,-52.0511,14.2
-71.9747,-52.5492,8.3
-69.2772,-52.7681,1.6
-68.6317,-52.8453,0.1
-69.8944,-52.8461,3.1
-69.7536,-52.8497,2.1
-71.8706,-52.9964,19.1
-71.3036,-53.1089,5.5
-70.9358,-53.125,0.3
-70.9875,-53.1381,0.9
-71.6158,-53.2069,9.6
-70.9789,-53.2789,2.2
-68.6511,-53.3164,0.6
-68.6908,-53.5436,4.3
-70.9667,-53.65,18.7
-68.6725,-53.8056,2.6
-69.9989,-53.8586,1.2
-68.8844,-53.8928,28.9
-68.6528,-54.0181,6.8
-68.8244,-54.5028,48.5
-67.6392,-54.9469,0.6
